,,,,,,Syap1
,,,,,,Msl3
,,,,,,Ctps2
,,,,,,Xlr4c
,,,,,,Zfp275
,,,,,,Ap1s2
,,,,,,Zrsr2
,,,,,,Haus7
,,,,,,Trex2
,,,,,,Car5b
,,,,,,Zfp92
,,,,,,Bgn
,,,,,,Atp2b3
,,,,,,Bmx
,,,,,,Abcd1
,,,,,,Pir
,,,,,,Vegfd
,,,,,,Piga
,,,,,,Asb11
,,,,,,Dusp9
,,,,,,Asb9
,,,,,,Plxnb3
,,,,,,Hcfc1
,,,,,,Renbp
,,,,,,Naa10
,,,,,,Arhgap4
,,,,,,L1cam
,,,,,,Irak1
,,,,,,Mecp2
,,,,,,Tktl1
,,,,,,Plxna3
,,,,,,Fam3a
,,,,,,G6pdx
,,,,,,Mpp1
,,,,,,Dkc1
,,,,,,Tceal6
,,,,,,Nxf7
,,,,,,Pramex1
,,,,,,Morf4l2
,,,,,,Kir3dl1
,,,,,,Plp1
,,,,,,Zcchc18
,,,,,,Psmd10
,,,,,,Vsig1
,,,,,,Tsc22d3
,,,,,,Prps1
,,,,,,Rbm41
,,,,,,Morc4
,,,,,,Rnf128
,,,,,,Gab3
,,,,,,Slc10a3
,,,,,,1700031F05Rik
,,,,,,Magea4
,,,,,,Prrg3
,,,,,,Armcx2
,,,,,,Armcx1
,,,,,,Tmem35a
,,,,,,Fndc3c1
,,,,,,Tlr13
,,,,,,Atp7a
,,,,,,Zdhhc15
,,,,,,Slc16a2
,,,,,,Phka1
,,,,,,Ogt
,,,,,,Kif4
,,,,,,Pja1
,,,,,,Eda2r
,,,,,,Diaph2
,,,,,,Hdx
,,,,,,Tex16
,,,,,,Pof1b
,,,,,,Pabpc5
,,,,,,Pcdh11x
,,,,,,Zc3h12b
,,,,,,Zc4h2
,,,,,,Eif2s3x
,,,,,,Pdk3
,,,,,,Pcyt1b
,,,,,,Arx
,,,,,,Mid1
,,,,,,Dcaf8l
,,,,,,Mageb4
,,,,,,Tab3
,,,,,,Fthl17a
,,,,,,Tsga8
,,,,,,4930480E11Rik
,,,,,,Prkx
,,,,,,Cd99l2
,,,,,,Ids
,,,,,,Ints6l
,,,,,,Fam122c
,,,,,,Fam122b
,,,,,,Mbnl3
,,,,,,Frmd7
,,,,,,Arhgap36
,,,,,,Gpr101
,,,,,,Tmem255a
,,,,,,Rnf113a1
,,,,,,Akap14
,,,,,,Upf3b
,,,,,,Zcchc12
,,,,,,Wdr44
,,,,,,Klhl13
,,,,,,Slitrk2
,,,,,,Zfp280c
,,,,,,Aifm1
,,,,,,Bcorl1
,,,,,,Zdhhc9
,,,,,,Xpnpep2
,,,,,,Apln
,,,,,,Spaca5
,,,,,,Syn1
,,,,,,Jade3
,,,,,,Slc9a7
,,,,,,Chst7
,,,,,,Dipk2b
,,,,,,Kdm6a
,,,,,,Thoc2
,,,,,,Slc25a43
,,,,,,Txlng
,,,,,,Tbc1d25
,,,,,,Suv39h1
,,,,,,Pcsk1n
,,,,,,Wdr45
,,,,,,Foxp3
,,,,,,Ppp1r3f
,,,,,,Ndp
,,,,,,Maob
,,,,,,Gpr34
,,,,,,Bcor
,,,,,,Tlr8
,,,,,,Ofd1
,,,,,,Gemin8
,,,,,,Siah1b
,,,,,,Reps2
,,,,,,Sh3kbp1
,,,,,,Map7d2
,,,,,,Tspyl2
,,,,,,Iqsec2
,,,,,,Smc1a
,,,,,,Phf8
,,,,,,Wnk3
,,,,,,Tmem29
,,,,,,Smpx
,,,,,,Ptchd1
,,,,,,Kctd12b
,,,,,,Klf8
,,,,,,Rragb
,,,,,,Amot
,,,,,,Lhfpl1
,,,,,,Trpc5
,,,,,,Alg13
,,,,,,Ammecr1
,,,,,,Nxt2
,,,,,,Gucy2f
,,,,,,Tex13b
,,,,,,Frmpd3
,,,,,,Dnaaf6b
,,,,,,Tbc1d8b
,,,,,,Radx
,,,,,,Pwwp3b
,,,,,,4933428M09Rik
,,,,,,Fam199x
,,,,,,Tceal9
,,,,,,Bex2
,,,,,,Foxo4
,,,,,,Gprasp1
,,,,,,Magea10
,,,,,,Rab9b
,,,,,,Rai2
,,,,,,Fam90a1b
,,,,,,Klhl15
,,,,,,1810030O07Rik
,,,,,,Nkrf
,,,,,,Bclaf3
,,,,,,Vsig4
,,,,,,Slc25a53
,,,,,,P2ry4
,,,,,,Sowahd
,,,,,,Tceal3
,,,,,,Tlr7
,,,,,,Mycs
,,,,,,Gm4779
,,,,,,Dmd
,,,,,,Sox3
