Gene Name,KO1,WT1,KO3,WT3
Anapc4,78.418045,22.883696,77.859695,24.538771
Anapc5,296.064362,43.092747,323.216919,69.697624
Angptl4,28.730995,0.528592,34.664989,2.650362
Angptl6,4.612554,0.381758,4.283623,0.673023
Ank,12.565136,0.957869,31.468555,1.490275
Ank3,4.872441,1.649136,14.453182,1.845864
Ankmy2,7.65133,0.172503,11.81711,1.02682
Ankrd13b,5.761971,0.835906,6.246417,1.310212
Ankrd17,28.673746,10.617554,71.657936,21.966646
Ankrd26,5.257,1.062323,10.986144,2.256536
Ankrd50,8.751847,1.734085,22.07798,3.9931
Ankrd52,21.406498,2.599501,58.03878,7.320359
Ano1,6.014655,1.53948,20.994509,3.737589
Ano4,1.028352,0.175898,4.731434,0.057217
Ano6,10.510914,0.610721,27.687201,2.690432
Anp32a,30.540537,4.56134,34.041176,5.868708
Anp32b,493.605896,143.799347,349.794159,136.812225
Anp32b-ps1,10.051924,1.701078,7.752493,1.927957
Anp32e,39.970287,2.188586,43.753002,3.136356
Anpep,2.478976,0.133276,4.137881,0.241911
Anxa1,13.023981,0.456931,9.489,1.287476
Anxa11,23.22719,6.532303,39.217335,5.24576
Anxa2,171.220062,57.22657,211.548096,46.523571
Anxa5,34.203979,1.657794,47.2201,6.966524
Anxa6,18.622021,2.060908,30.008593,3.552175
Aoc3,3.516954,0.164561,6.965389,1.123263
Aox1,6.31782,0.935751,23.836784,3.627589
Ap1g1,45.76675,13.168314,76.154884,24.371532
Ap1s2,11.145123,1.52755,13.03641,1.522677
Ap2m1,202.981216,39.466324,225.389267,68.020218
Ap2m1-ps,41.808289,10.359751,64.461906,21.744041
Ap3m1,29.231537,12.170955,30.715876,16.296318
Ap5m1,11.196147,6.171541,17.030445,6.14675
Apaf1,7.976329,0.502271,9.755589,0.816644
Apba2,1.702778,0.129287,2.505317,0
Apbb2,2.236603,0.272746,4.633158,0.336713
Apc,11.087907,2.868547,32.568848,6.761814
Apeh,44.731903,10.073508,52.329639,13.314957
Apex2,5.55625,0.227411,4.996725,0.327501
Aph1a,37.398903,3.643479,57.952286,7.888679
Aph1b,3.203919,1.122487,3.937021,0.736364
Apln,7.035989,0.94962,34.308395,5.672122
Aplp1,75.877174,19.680281,86.321037,16.145432
Apmap,32.564453,6.233449,43.758854,8.378874
Apobec3,15.229363,0.368979,25.460079,1.633287
Apoc1,83.672211,9.925408,190.589752,26.65926
Apoe,502.917511,18.484491,515.269592,54.101315
Apol6,2.477667,0.043804,5.713691,0.492394
Apol7d,0.822872,0,0.947782,0
Apool,9.565997,1.115987,9.671145,0.422738
App,97.792244,11.824497,211.542572,18.865559
Appbp2,51.29641,20.370518,85.407036,24.006504
Appl1,31.884855,5.822593,46.618778,8.709628
Appl2,91.961861,17.832499,187.629196,34.901485
Aqp5,8.371473,0.477213,11.763306,0.991279
Aqp8,42.227608,4.244363,76.900772,6.371913
Ar,2.927628,0.212107,10.158081,1.185173
Araf,23.184092,2.954204,43.555759,5.040464
Arap1,4.410189,0.24589,4.244192,0.440978
