"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SC_Ythdc2_iKO_1","SC_Ythdc2_iKO_2","SC_Ythdc2_iKO_3","SC_Ythdc2_HT_1","SC_Ythdc2_HT_2","SC_Ythdc2_HT_3","mgi_symbol","entrezgene_id","chromosome_name"
"ENSMUSG00000000738",161.708840324675,-0.482879181473852,0.214575532217768,-2.25039256099241,0.0244240368142686,0.121704708353968,119.486508055233,123.521308158375,161.722946167183,188.774524245902,193.471482173744,183.276273147616,"Spg7",234847,"8"
"ENSMUSG00000000740",32.0019618055375,0.0189304627451077,0.376029372654566,0.0503430426497503,0.959849024160877,0.984522202576022,45.0120407057385,25.3969044811612,25.7962981616365,28.4659996878741,41.2616905109881,26.0788372858267,"Rpl13",270106,"8"
"ENSMUSG00000000743",49.2007765305596,-0.133077143241596,0.294371207784719,-0.452072552350021,0.65121671630704,0.849170032933281,45.0120407057385,51.9482137114661,43.6552738120003,53.935578355972,55.0155873479841,45.6379652501968,"Chmp1a",234852,"8"
"ENSMUSG00000000751",74.8748784415437,0.410372794967828,0.258793461093631,1.58571547068323,0.112803868109166,0.334657822364859,77.748070309912,98.1244036772138,81.357555740546,61.4266309054125,59.6002196269827,70.992390389195,"Rpa1",68275,"11"
"ENSMUSG00000000759",22.5143145302544,0.594546685358282,0.417632962607567,1.42361053506438,0.154559244485313,0.406704946615163,18.8232170223997,30.014523477736,32.7414553590002,16.4803156087692,21.0893084833939,15.9370672302274,"Tubgcp3",259279,"8"
"ENSMUSG00000000787",14.3848823638859,1.83957386943333,0.568369388270235,3.23658153904428,0.0012097066070674,0.0124752895111066,36.0096325645908,18.4704759862991,12.8981490808183,5.99284203955244,6.41848519059814,6.51970932145668,"Ddx3x",13205,"X"
"ENSMUSG00000000794",12.7404041547858,-2.73363378489794,0.646492454582311,-4.22840787316551,2.35350848795553e-05,0.000562237183054697,2.45520222031301,6.92642849486215,0.992165313909098,23.9713681582098,21.0893084833939,21.0079522580271,"Kcnn3",140493,"3"
"ENSMUSG00000000804",46.3137320186721,-0.126946744469021,0.313700914222673,-0.4046744485383,0.685716826406849,0.865939501099612,39.2832355250082,53.1026184606098,39.6866125563639,59.9284203955244,46.7632492457865,39.1182559287401,"Usp32",237898,"11"
"ENSMUSG00000000811",59.9353733488416,-0.599268475751542,0.293740060699271,-2.04013192591074,0.0413371876563165,0.173811148235018,44.1936399656342,51.9482137114661,45.6396044398185,95.8854726328391,63.2679254501817,58.6773838931101,"Txnrd3",232223,"6"
"ENSMUSG00000000823",162.510697219771,-0.18661924708516,0.22080793969856,-0.845165474302809,0.39801845612048,0.681628767490293,126.033713976068,160.462260130973,169.660268678456,175.290629656909,194.388408629544,149.228902246675,"Zfp512b",269401,"2"
"ENSMUSG00000000826",52.7038303547893,0.711941118069053,0.32046523362247,2.22158612970719,0.0263112880940054,0.127594709271008,49.9224451463645,92.3523799314953,54.5690922650004,38.9534732570909,44.929396334187,35.4961951945975,"Dnajc5",13002,"2"
"ENSMUSG00000000827",24.2568675226511,0.802983434987411,0.401052633079298,2.00218965980119,0.0452643373629956,0.184889489567376,34.3728310843821,32.3233329760234,26.7884634755456,11.9856840791049,18.3385291159947,21.7323644048556,"Tpd52l2",66314,"2"
"ENSMUSG00000000838",7.20043757391951,1.18497734969739,0.718622394982766,1.64895689025362,0.0991564668121308,0.307600595979109,9.0024081411477,13.8528569897243,7.93732251127278,1.49821050988811,3.66770582319894,7.2441214682852,"Fmr1",14265,"X"
"ENSMUSG00000000861",33.8847862526369,-0.222875465311037,0.347342175351318,-0.641659669130622,0.521094181113476,0.77138993024174,25.3704229432344,33.4777377251671,34.7257859868184,43.4481047867552,29.3416465855915,36.9450194882545,"Bcl11a",14025,"11"
"ENSMUSG00000000869",9.05015354953775,-0.100102239240684,0.627274483311184,-0.159582833199711,0.873209702783176,0.950800864974017,11.4576103614607,4.61761899657477,9.92165313909098,10.4874735692168,5.50155873479841,12.3150064960848,"Il4",16189,"11"
"ENSMUSG00000000884",49.2346622661488,-0.202975926331102,0.317356087701991,-0.639584158605156,0.522442984046834,0.772364339429007,52.3776473666775,46.1761899657477,37.7022819285457,67.419472944965,36.6770582319894,55.0553231589675,"Gnb1l",13972,"16"
"ENSMUSG00000000902",160.438047281138,0.13772466942886,0.242309780378275,0.568382626627183,0.569775184693043,0.801594522273129,135.036122117216,178.932736117272,192.480070898365,113.863998751496,191.637629262145,150.677726540332,"Smarcb1",20587,"10"
"ENSMUSG00000000903",52.0571235905154,0.273846151014312,0.292428606257116,0.936454728281727,0.349039111241215,0.637817614623072,52.3776473666775,61.1834517046157,58.5377535206368,40.451683766979,44.0124698783873,55.7797353057961,"Vpreb3",22364,"10"
"ENSMUSG00000000915",27.3457049183231,0.301898009689611,0.429312336024538,0.70321298587692,0.481923027685091,0.74301695174172,22.9152207229214,30.014523477736,37.7022819285457,20.9749471384335,39.4278375993886,13.0394186429134,"Hip1r",29816,"5"
"ENSMUSG00000000916",28.2477217499899,0.14409823393627,0.405250351420786,0.355578307165113,0.722156391629535,0.88343565443415,25.3704229432344,30.014523477736,34.7257859868184,13.483894588993,41.2616905109881,24.6300129921697,"Nsun5",100609,"5"
"ENSMUSG00000000948",8.81029580193609,1.58242335077243,0.717488583899786,2.20550317633131,0.0274188051525613,0.130818139059161,8.18400740104336,17.3160712371554,13.8903143947274,4.49463152966433,8.25233810219761,0.72441214682852,"Gm38393",NA,"7"
"ENSMUSG00000000957",14.1059734557196,2.47361073453103,0.608738784333447,4.06350112427874,4.83420893887185e-05,0.00100142847983258,14.7312133218781,35.7865472234544,20.8354715920911,5.99284203955244,3.66770582319894,3.6220607341426,"Mmp14",17387,"14"
"ENSMUSG00000000958",34.2217995840914,2.0008867521556,0.439806478206641,4.54947084980293,5.37809831866954e-06,0.000164593889588536,36.8280333046951,55.4114279588972,74.4123985431823,4.49463152966433,11.0031174695968,23.1811886985126,"Slc7a7",20540,"14"
"ENSMUSG00000000959",20.1595427906083,0.527784186214856,0.474734323010707,1.11174642454271,0.266247192986384,0.554629057790633,22.0968199828171,31.1689282268797,19.843306278182,4.49463152966433,20.1723820275942,23.1811886985126,"Oxa1l",69089,"14"
"ENSMUSG00000000976",14.3433244706349,-0.52608708442481,0.555216216882843,-0.947535515764339,0.343365967491358,0.632399924857212,9.0024081411477,13.8528569897243,12.8981490808183,8.98926305932866,31.175499497191,10.1417700555993,"Heatr6",217026,"11"
"ENSMUSG00000001016",266.871050631893,-0.256112010012173,0.189406029791527,-1.35218509301983,0.176316111228656,0.440808192734435,238.154615370362,252.814640062468,238.119675338183,302.638522997398,314.505774339309,254.993075683639,"Ilf2",67781,"3"
"ENSMUSG00000001017",52.060170024837,-0.511390372131021,0.297501423016522,-1.71895101188347,0.0856232923899666,0.280314892568856,33.5544303442778,49.6394042131787,45.6396044398185,68.9176834548531,55.9325138037838,58.6773838931101,"Chtop",66511,"3"
"ENSMUSG00000001018",94.5639761197124,-0.0305055291573205,0.244837626612606,-0.124594939018861,0.900844235253186,0.962659834435528,108.847298433877,91.1979751823516,80.3653904266369,97.3836831427272,85.2741603893753,104.315349143307,"Snapin",20615,"3"
"ENSMUSG00000001036",71.3922452470597,0.13546823121235,0.262302679262742,0.516457672461115,0.60553479448529,0.822011980199991,67.9272614286599,76.1907134434836,81.357555740546,58.4302098856363,66.9356312733806,77.5120997106517,"Epn2",13855,"11"
"ENSMUSG00000001039",43.5347441869037,-0.633376091690237,0.316540334895838,-2.00093328358504,0.0453995801411354,0.185073238726438,26.1888236833388,35.7865472234544,40.678777870273,55.4337888658601,49.5140286131857,53.6064988653105,"B9d1",27078,"11"
"ENSMUSG00000001052",43.8517825427342,0.0882375958494554,0.315062749039355,0.280063562317339,0.779428739512639,0.909542993666319,38.4648347849038,40.4041662200292,56.5534228928186,43.4481047867552,45.8463227899867,38.3938437819116,"Sec24b",99683,"3"
"ENSMUSG00000001053",18.9516103237107,0.955594695033913,0.448056770787385,2.1327536092237,0.0329449436426429,0.148475082190982,20.4600185026084,27.7057139794486,27.7806287894547,8.98926305932866,12.8369703811963,15.9370672302274,"N4bp3",212706,"11"
"ENSMUSG00000001054",29.2093232728686,-0.098511907335387,0.392631154605919,-0.250901911831889,0.801889946256977,0.921506819428319,23.7336214630258,35.7865472234544,26.7884634755456,16.4803156087692,31.175499497191,41.2914923692257,"Rmnd5b",66089,"11"
